"","rnaDate","rnaPreparer","rnaSampleNumber","s1cDNADate","s1cDNAPreparer","s1cDNASampleNumber","polyAIsolationProtocol","s1Protocol","roboticS1Prep","s1PrimerSeq"
"156","08.27.19","J.PLAGGENBERG",18,"08.29.19","J.PLAGGENBERG",18,"NEBNextPoly(A)E7490","E7760","No","random"
"157","08.27.19","J.PLAGGENBERG",19,"08.29.19","J.PLAGGENBERG",19,"NEBNextPoly(A)E7490","E7760","No","random"
"158","08.27.19","J.PLAGGENBERG",20,"08.29.19","J.PLAGGENBERG",20,"NEBNextPoly(A)E7490","E7760","No","random"
"159","08.27.19","J.PLAGGENBERG",21,"08.29.19","J.PLAGGENBERG",21,"NEBNextPoly(A)E7490","E7760","No","random"
"160","08.27.19","J.PLAGGENBERG",22,"08.29.19","J.PLAGGENBERG",22,"NEBNextPoly(A)E7490","E7760","No","random"
"161","08.27.19","J.PLAGGENBERG",23,"08.29.19","J.PLAGGENBERG",23,"NEBNextPoly(A)E7490","E7760","No","random"
"162","08.27.19","J.PLAGGENBERG",24,"08.29.19","J.PLAGGENBERG",24,"NEBNextPoly(A)E7490","E7760","No","random"
"163","08.27.19","J.PLAGGENBERG",25,"08.29.19","J.PLAGGENBERG",25,"NEBNextPoly(A)E7490","E7760","No","random"
"164","08.27.19","J.PLAGGENBERG",26,"08.29.19","J.PLAGGENBERG",26,"NEBNextPoly(A)E7490","E7760","No","random"
"165","08.27.19","J.PLAGGENBERG",27,"08.29.19","J.PLAGGENBERG",27,"NEBNextPoly(A)E7490","E7760","No","random"
"166","08.27.19","J.PLAGGENBERG",28,"08.29.19","J.PLAGGENBERG",28,"NEBNextPoly(A)E7490","E7760","No","random"
"167","08.27.19","J.PLAGGENBERG",29,"08.29.19","J.PLAGGENBERG",29,"NEBNextPoly(A)E7490","E7760","No","random"
"168","08.27.19","J.PLAGGENBERG",30,"08.29.19","J.PLAGGENBERG",30,"NEBNextPoly(A)E7490","E7760","No","random"
"169","08.27.19","J.PLAGGENBERG",31,"08.29.19","J.PLAGGENBERG",31,"NEBNextPoly(A)E7490","E7760","No","random"
"170","08.27.19","J.PLAGGENBERG",32,"08.29.19","J.PLAGGENBERG",32,"NEBNextPoly(A)E7490","E7760","No","random"
"171","09.10.19","J.PLAGGENBERG",1,"09.11.19","J.PLAGGENBERG",1,"NEBNextPoly(A)E7490","E7760","No","random"
"172","09.10.19","J.PLAGGENBERG",2,"09.11.19","J.PLAGGENBERG",2,"NEBNextPoly(A)E7490","E7760","No","random"
"173","09.10.19","J.PLAGGENBERG",3,"09.11.19","J.PLAGGENBERG",3,"NEBNextPoly(A)E7490","E7760","No","random"
"174","09.10.19","J.PLAGGENBERG",4,"09.11.19","J.PLAGGENBERG",4,"NEBNextPoly(A)E7490","E7760","No","random"
"175","09.10.19","J.PLAGGENBERG",5,"09.11.19","J.PLAGGENBERG",5,"NEBNextPoly(A)E7490","E7760","No","random"
"176","09.10.19","J.PLAGGENBERG",6,"09.11.19","J.PLAGGENBERG",6,"NEBNextPoly(A)E7490","E7760","No","random"
"177","09.10.19","J.PLAGGENBERG",7,"09.11.19","J.PLAGGENBERG",7,"NEBNextPoly(A)E7490","E7760","No","random"
"178","09.10.19","J.PLAGGENBERG",8,"09.11.19","J.PLAGGENBERG",8,"NEBNextPoly(A)E7490","E7760","No","random"
"179","09.11.19","J.PLAGGENBERG",9,"09.11.19","J.PLAGGENBERG",9,"NEBNextPoly(A)E7490","E7760","No","random"
"180","09.11.19","J.PLAGGENBERG",10,"09.11.19","J.PLAGGENBERG",10,"NEBNextPoly(A)E7490","E7760","No","random"
"181","09.11.19","J.PLAGGENBERG",11,"09.11.19","J.PLAGGENBERG",11,"NEBNextPoly(A)E7490","E7760","No","random"
"182","09.11.19","J.PLAGGENBERG",12,"09.11.19","J.PLAGGENBERG",12,"NEBNextPoly(A)E7490","E7760","No","random"
"183","09.11.19","J.PLAGGENBERG",13,"09.11.19","J.PLAGGENBERG",13,"NEBNextPoly(A)E7490","E7760","No","random"
"184","09.11.19","J.PLAGGENBERG",14,"09.11.19","J.PLAGGENBERG",14,"NEBNextPoly(A)E7490","E7760","No","random"
"185","09.11.19","J.PLAGGENBERG",15,"09.11.19","J.PLAGGENBERG",15,"NEBNextPoly(A)E7490","E7760","No","random"
"186","09.11.19","J.PLAGGENBERG",16,"09.11.19","J.PLAGGENBERG",16,"NEBNextPoly(A)E7490","E7760","No","random"
